ajuntament;latitudlongitud
AYUNTAMIENTO DE ALBOCÀSSER;40.3571915,0.0245058
AYUNTAMIENTO DE BENASSAL;40.3797796,-0.1407695
AYUNTAMIENTO DE CANET LO ROIG;40.5507583,0.2428562
AYUNTAMIENTO DE CATÍ;40.4715653,0.0228594
AYUNTAMIENTO DE CERVERA DEL MAESTRE;40.4543255,0.2772691
AYUNTAMIENTO DE LES COVES DE VINROMÀ;40.310827,0.1211825
AYUNTAMIENTO DE CULLA;40.3368652,-0.1654953
AYUNTAMIENTO DE XERT;40.5186118,0.1585541
AYUNTAMIENTO DE LA JANA;29.1127142,100.6441542
AYUNTAMIENTO DE ROSSELL;40.61827,0.2214019
AYUNTAMIENTO DE LA SALZADELLA;40.4177148,0.1740316
AYUNTAMIENTO DE SAN RAFAEL DEL RÍO;40.6057113,0.3498224
AYUNTAMIENTO DE LA SERRATELLA;40.3127349,0.0311219
AYUNTAMIENTO DE TÍRIG;40.4234553,0.0779913
AYUNTAMIENTO DE TRAIGUERA;40.5246503,0.2899844
AYUNTAMIENTO DE VILAR DE CANES;40.3578661,-0.0658363
AYUNTAMIENTO DE AÍN;-34.863571,-56.1478263
AYUNTAMIENTO DE ALCALÀ DE XIVERT;40.3041662,0.2252763
AYUNTAMIENTO DE ALCORA;40.07434765,-0.213045755574413
AYUNTAMIENTO DE ALMASSORA;39.9452708,-0.0632477260889463
AYUNTAMIENTO DE ALMENARA;-16.1740678,-40.6904907
AYUNTAMIENTO DE ALCUDIA DE VEO;39.9161778,-0.355279
AYUNTAMIENTO DE ARGELITA;40.054538,-0.3501289
AYUNTAMIENTO DE ARTANA;39.8913697,-0.2579304
AYUNTAMIENTO DE AYÓDAR;39.9985635,-0.3744545
AYUNTAMIENTO DE BENICARLÓ;40.4180244,0.4229813
AYUNTAMIENTO DE BENICÀSSIM;40.0522495,0.0757282
AYUNTAMIENTO DE BETXI;39.9288302,-0.1974253
AYUNTAMIENTO DE BURRIANA;39.8899883,-0.0834510095406547
AYUNTAMIENTO DE BORRIOL;40.0422215,-0.0714919
AYUNTAMIENTO DE CÀLIG;40.4619756,0.3529703
AYUNTAMIENTO DE CASTELLÓ DE LA PLANA;39.9860347,-0.0377354
AYUNTAMIENTO DE XILXES;39.782385,-0.1878358
AYUNTAMIENTO DE CIRAT;40.0547973,-0.462651
AYUNTAMIENTO DE ESLIDA;39.8791986,-0.3078833
AYUNTAMIENTO DE ESPADILLA;40.0266307,-0.3554859
AYUNTAMIENTO DE FANZARA;40.01905725,-0.316022493049484
AYUNTAMIENTO DE FUENTES DE AYÓDAR;40.0206111,-0.419610215964756
AYUNTAMIENTO DE LA LLOSA;-36.332262,-57.6768609
AYUNTAMIENTO DE MONCOFA;39.808205,-0.1452657
AYUNTAMIENTO DE NULES;39.8535004,-0.155484
AYUNTAMIENTO DE ONDA;39.9626669,-0.264205679117079
AYUNTAMIENTO DE OROPESA DEL MAR;40.0944796,0.134719836139836
AYUNTAMIENTO DE PEÑÍSCOLA;40.3576361,0.4071043
AYUNTAMIENTO DE RIBESALBES;40.02248,-0.2772301
AYUNTAMIENTO DE SUERA;39.9523408,-0.3323121
AYUNTAMIENTO DE SANTA MAGDALENA DE PULPIS;40.3564136,0.3031558
AYUNTAMIENTO DE TALES;39.94864455,-0.308183590425531
AYUNTAMIENTO DE TOGA;40.04217785,-0.36708459943491
AYUNTAMIENTO DE TORRECHIVA;40.0498182,-0.3980334
AYUNTAMIENTO DE VALLAT;40.0301655,-0.337127248815332
AYUNTAMIENTO DE LA VALL D'UIXÓ;39.82386545,-0.232335295967071
AYUNTAMIENTO DE VILLAMALUR;39.9642854,-0.3946519
AYUNTAMIENTO DE VILA-REAL;39.93663115,-0.101255912534087
AYUNTAMIENTO DE LA VILAVELLA;39.8588,-0.1834768
AJUNTAMENT DE LES ALQUERIES;39.89635565,-0.114821241435759
AYUNTAMIENTO DE VINARÒS;40.4703992,0.4746076
AJUNTAMENT DE SANT JOAN DE MORÓ;40.06023,-0.1395713
AYUNTAMIENTO DE CASTILLO DE VILLAMALEFA;40.1307213,-0.3798326
AYUNTAMIENTO DE CORTES DE ARENOSO;40.1865191,-0.5425791
AYUNTAMIENTO DE COSTUR;40.1200736,-0.1735358
AYUNTAMIENTO DE FIGUEROLES;40.1172943,-0.2377384
AYUNTAMIENTO DE LLUCENA;40.1372729,-0.2808155
AYUNTAMIENTO DE VILLAHERMOSA DEL RÍO;40.2028013,-0.417821
AYUNTAMIENTO DE LUDIENTE;40.0868846,-0.3717111
AYUNTAMIENTO DE ZUCAINA;40.1319864,-0.4189382
AYUNTAMIENTO DE ARES DEL MAESTRAT;40.4563771,-0.1320048
AYUNTAMIENTO DE CASTELL DE CABRES;40.6608092,0.0428379
AYUNTAMIENTO DE CASTELLFORT;40.5013525,-0.1902038
AYUNTAMIENTO DE CINCTORRES;40.5825853,-0.2161136
AYUNTAMIENTO DE FORCALL;40.6460917,-0.199565
AYUNTAMIENTO DE MORELLA;40.69487205,-0.0635775625000004
AYUNTAMIENTO DE HERBÉS;40.7208731,-0.0039824
AYUNTAMIENTO DE LA MATA DE MORELLA;40.6164299,-0.2795332
AYUNTAMIENTO DE OLOCAU DEL REY;40.5868461,-0.3426643
AYUNTAMIENTO DE PALANQUES;40.7173902,-0.179317
AYUNTAMIENTO DE PORTELL DE MORELLA;40.5324959,-0.2625418
AYUNTAMIENTO DE POBLA DE BENIFASSÀ;40.6563297,0.1566012
AYUNTAMIENTO DE TODOLELLA;40.6469756,-0.2467637
AYUNTAMIENTO DE VALLIBONA;40.6030803,0.0465541
AYUNTAMIENTO DE VILLORES;40.6762953,-0.2006783
AYUNTAMIENTO DE ZORITA DEL MAESTRAZGO;40.74076075,-0.165818493411073
AYUNTAMIENTO DE ALFONDEGUILLA;39.8378314,-0.2686762
AYUNTAMIENTO DE ALGIMIA DE ALMONACID;39.914083,-0.4420538
AYUNTAMIENTO DE ALMEDÍJAR;39.8723007,-0.4093054
AYUNTAMIENTO DE ALTURA;39.8513997,-0.5106322
AYUNTAMIENTO DE ARAÑUEL;40.0714224,-0.4812947
AYUNTAMIENTO DE AZUÉBAR;39.8342095,-0.3694757
AYUNTAMIENTO DE BARRACAS;40.0167316,-0.6977845
AYUNTAMIENTO DE BEJÍS;39.90971445,-0.707428792089227
AYUNTAMIENTO DE BENAFER;39.9349547,-0.577643
AYUNTAMIENTO DE CASTELLNOVO;39.8620764,-0.4574769
AYUNTAMIENTO DE CAUDIEL;39.9467178,-0.568376810095969
AYUNTAMIENTO DE CHÓVAR;39.8511596,-0.3207868
AYUNTAMIENTO DE FUENTE LA REINA;40.0638247,-0.6089427
AYUNTAMIENTO DE GAIBIEL;39.9264703,-0.4956292
AYUNTAMIENTO DE GELDO;39.8369521,-0.466374057992677
AYUNTAMIENTO DE HIGUERAS;39.9836617,-0.503211694196427
AYUNTAMIENTO DE JÉRICA;39.9117383,-0.5718739
AYUNTAMIENTO DE MATET;39.9375778,-0.4677818
AYUNTAMIENTO DE MONTÁN;46.3309373,11.3019969
AYUNTAMIENTO DE MONTANEJOS;40.06832355,-0.522932468663372
AYUNTAMIENTO DE NAVAJAS;39.87652335,-0.50656047192082
AYUNTAMIENTO DE PAVÍAS;39.97350835,-0.482299685217252
AYUNTAMIENTO DE PINA DE MONTALGRAO;40.0210671,-0.6549815
AYUNTAMIENTO DE PUEBLA DE ARENOSO;40.1046844,-0.5909206
AYUNTAMIENTO DE SACAÑET;39.8521576,-0.7144275
AYUNTAMIENTO DE SEGORBE;39.85131285,-0.489274153187283
AYUNTAMIENTO DE SONEJA;39.8152946,-0.4310859
